stop_id,stop_code,stop_name,lat,lon,Zip Codes
3800,3800,Research/Metric,30.371864,-97.722558,78758
3804,3804,10201 Jollyville/Great Hills,30.395978,-97.749877,78759
3806,3806,4815 Braker/Jollyville,30.400576,-97.748014,78759
3809,3809,11215 Research/Balcones Woods,30.408812,-97.744632,78759
3810,3810,11411 Research/Windriver Apts,30.412532,-97.745139,78759
3811,3811,11689 Research/Duval,30.417953,-97.746152,78759
3812,3812,Research/Riata Apts,30.42702,-97.75387,78727
3813,3813,12550 Research/Oak Knoll,30.43024,-97.76044,78727
3818,3818,10409 Lake Creek/Mellow Meadows,30.46064,-97.79704,78750
3820,3820,11101 Lakeline Mall/Pecan Park,30.472089,-97.801043,78750
3823,3823,10204 Lake Creek/Pecan Park,30.462437,-97.792001,78729
3824,3824,10323 Lake Creek/US 183,30.46091,-97.79649,78750
3829,3829,Research Blvd/Barrington,30.432985,-97.768027,78759
3830,3830,12574 Research/Jollyville,30.429237,-97.760501,78759
3831,3831,11700 Research/Duval,30.41999,-97.747572,78759
3832,3832,11590 Research/Thunder Creek,30.41492,-97.746612,78759
3833,3833,11100 Research/Balcones Woods,30.406858,-97.745727,78759
3834,3834,Braker/Research NW Corner,30.400813,-97.74724,78759
3837,3837,10051 Great Hills/Research (Target),30.393337,-97.743545,78759
3838,3838,10001 Capital of Texas/Stonelake,30.390475,-97.738894,78759
3839,3839,Research/Ohlen,30.364075,-97.718149,78757
3840,3840,8500 Research/Fairfield,30.359635,-97.716748,78757
3843,3843,924 41st/IH 35,30.298908,-97.720539,78751
3846,3846,Riverside/Congress FS,30.256196,-97.746021,78704
3847,3847,205 Riverside/Congress,30.254846,-97.744793,78704
3852,3852,Melrose Place Apt,30.237369,-97.7135,78741
3887,3887,Convict Hill/Latta/Brush Country,30.216888,-97.846068,78749
3895,3895,Braker/Lamar NE Corner,30.381776,-97.685877,78753
3900,3900,12001 Amhearst/Duval,30.412316,-97.721527,78759
3901,3901,Salt Springs/Tara,30.163611,-97.742899,78744
3924,3924,Barton Creek Mall (Sears),30.256415,-97.80931,78746
3931,3931,Walmart Norwood,30.339404,-97.690619,78753
3932,3932,2215 Rosewood/Chestnut,30.27025,-97.71522,78702
3955,3955,Dean Keeton/Speedway,30.289287,-97.73607,78705
3974,3974,Travis County Precinct 4,30.19557,-97.693747,78744
4007,4007,Lavaca/9th,30.271378,-97.744115,78701
4024,4024,504 Riverside/Newning,30.253005,-97.742945,78704
4026,4026,Soco Station (NB),30.248772,-97.749826,78704
4029,4029,Soco Station (SB),30.248134,-97.750367,78704
4039,4039,Oltorf Station (NB),30.239554,-97.752826,78704
4040,4040,Oltorf/Congress,30.237921,-97.752284,78704
4044,4044,121 Oltorf/Euclid (HEB),30.239387,-97.754655,78704
4046,4046,Oltorf Station (SB),30.238013,-97.754383,78704
4065,4065,1311 S 1st/Elizabeth,30.250973,-97.754463,78704
4069,4069,Barton Springs/Lamar,30.260536,-97.757392,78704
4070,4070,Barton Springs Station (SB),30.26007,-97.758952,78704
4071,4071,615 Lamar/Bluff,30.258835,-97.758983,78704
4072,4072,1901 Lamar/Mary,30.24956,-97.767001,78704
4078,4078,1501 Barton Springs/Jessie,30.261416,-97.76013,78704
4079,4079,Barton Springs (Zilker Park),30.266126,-97.768413,78746
